Grupos de edad;Ambos Sexos
25-29;2.667
30-34;2.498
35-39;2.425
40-44;2.223
45-49;1.953
50-54;1.760
55-59;1.461
60-64;1.142
65-69;889
70-74;665
75-79;454
80-84;271
85-89;146
90-94;67
95-99;43
100 AÑOS Y MÁS;12
Concepción;
Total;5.757
00-04;434
05-09;458
10-14;476
15-19;443
20-24;398
25-29;370
30-34;375
35-39;393
40-44;374
45-49;340
50-54;328
55-59;317
60-64;282
65-69;236
70-74;192
75-79;147
80-84;90
85-89;48
90-94;33
95-99;21
100 AÑOS Y MÁS;2
Confines;
Total;3.294
00-04;330
05-09;299
10-14;255
15-19;241
20-24;231
25-29;247
30-34;242
35-39;219
40-44;195
45-49;196
50-54;196
55-59;182
60-64;155
65-69;119
70-74;79
75-79;51
80-84;25
85-89;17
90-94;11
95-99;4
100 AÑOS Y MÁS;0
Contratación;
Total;3.699
00-04;216
05-09;238
10-14;265
15-19;253
20-24;192
25-29;173
30-34;194
35-39;224
40-44;235
45-49;242
50-54;250
55-59;246
60-64;230
65-69;201
70-74;179
75-79;152
80-84;104
85-89;60
90-94;29
95-99;13
100 AÑOS Y MÁS;3
Coromoro;
Total;5.024
00-04;431
05-09;428
10-14;418
15-19;397
20-24;353
25-29;328
30-34;307
35-39;298
40-44;311
45-49;332
50-54;330
55-59;291
60-64;230
65-69;185
70-74;152
75-79;107
80-84;63
85-89;34
90-94;18
95-99;10
100 AÑOS Y MÁS;1
Curití;
Total;13.283
00-04;1.028
05-09;1.053
10-14;1.064
15-19;1.038
20-24;998
25-29;959
30-34;907
35-39;856
40-44;820
45-49;811
50-54;816
55-59;754
60-64;649
65-69;526
70-74;383
75-79;264
80-84;180
85-89;100
90-94;41
95-99;26
100 AÑOS Y MÁS;10
El Carmen de Chucurí;
Total;21.820
00-04;1.845
05-09;1.967
10-14;2.054
15-19;1.977
20-24;1.753
25-29;1.598
30-34;1.595
35-39;1.643
40-44;1.519
45-49;1.315
50-54;1.191
55-59;1.022
60-64;771
65-69;572
70-74;426
75-79;267
80-84;148
85-89;79
90-94;41
95-99;23
100 AÑOS Y MÁS;14
El Guacamayo;
Total;2.085
00-04;133
05-09;157
10-14;178
15-19;160
20-24;115
25-29;106
30-34;119
35-39;144
40-44;158
45-49;156
50-54;146
55-59;118
60-64;92
65-69;87
70-74;84
75-79;66
80-84;38
85-89;16
90-94;8
95-99;4
100 AÑOS Y MÁS;0
El Peñón;
Total;5.507
00-04;465
05-09;532
10-14;591
15-19;561
20-24;461
25-29;376
30-34;360
35-39;374
40-44;336
45-49;280
50-54;251
55-59;238
60-64;204
65-69;166
70-74;119
75-79;86
80-84;49
85-89;24
90-94;19
95-99;13
100 AÑOS Y MÁS;2
El Playón;
Total;14.038
00-04;1.199
05-09;1.250
10-14;1.295
15-19;1.276
20-24;1.152
25-29;1.009
30-34;957
35-39;945
40-44;877
45-49;788
50-54;727
55-59;655
60-64;555
65-69;456
70-74;342
75-79;225
80-84;153
85-89;96
90-94;50
95-99;28
100 AÑOS Y MÁS;3
Encino;
Total;2.583
00-04;232
05-09;238
10-14;241
15-19;225
20-24;205
25-29;169
30-34;158
35-39;153
40-44;160
45-49;162
50-54;161
55-59;137
60-64;101
65-69;72
70-74;64
75-79;49
80-84;29
85-89;13
90-94;10
95-99;4
100 AÑOS Y MÁS;0
Enciso;
Total;3.445
00-04;233
05-09;245
10-14;260
15-19;277
20-24;247
25-29;208
30-34;201
35-39;228
40-44;240
45-49;234
50-54;225
55-59;207
60-64;180
65-69;159
70-74;122
75-79;78
80-84;50
85-89;31
90-94;16
95-99;4
100 AÑOS Y MÁS;0
Florián;
Total;5.589
00-04;374
05-09;461
10-14;540
15-19;493
20-24;367
25-29;313
30-34;347
35-39;378
40-44;369
45-49;353
50-54;354
55-59;313
60-64;254
65-69;202
70-74;155
75-79;123
80-84;90
85-89;56
90-94;31
95-99;14
100 AÑOS Y MÁS;2
Floridablanca;
Total;307.896
00-04;20.344
05-09;20.385
10-14;20.889
15-19;22.961
20-24;26.722
25-29;26.696
30-34;24.245
35-39;23.012
40-44;21.248
45-49;20.090
50-54;19.622
55-59;17.099
60-64;13.733
65-69;10.838
70-74;8.138
75-79;5.424
80-84;3.233
85-89;1.815
90-94;940
95-99;363
100 AÑOS Y MÁS;99
Galán;
Total;2.891
00-04;239
05-09;232
10-14;220
15-19;203
20-24;190
25-29;188
30-34;190
35-39;178
40-44;163
45-49;164
50-54;176
55-59;178
60-64;169
65-69;135
70-74;102
75-79;71
80-84;41
85-89;28
90-94;18
95-99;6
100 AÑOS Y MÁS;0
Gambita;
Total;4.013
00-04;354
05-09;364
10-14;358
15-19;322
20-24;256
25-29;240
30-34;247
35-39;248
40-44;244
45-49;245
50-54;240
55-59;216
60-64;188
65-69;162
70-74;125
75-79;88
80-84;61
85-89;36
90-94;15
95-99;4
100 AÑOS Y MÁS;0
Girón;
Total;171.904
00-04;13.014
05-09;12.903
10-14;12.863
15-19;13.558
20-24;15.428
25-29;15.720
30-34;14.338
35-39;13.147
40-44;11.716
45-49;10.500
50-54;9.828
55-59;8.520
60-64;6.741
65-69;5.002
70-74;3.532
75-79;2.304
80-84;1.378
85-89;787
90-94;409
95-99;161
100 AÑOS Y MÁS;55
Guaca;
Total;5.909
00-04;449
05-09;477
10-14;503
15-19;495
20-24;432
25-29;401
30-34;391
35-39;396
40-44;403
45-49;390
50-54;348
55-59;288
60-64;240
65-69;225
70-74;190
75-79;132
80-84;79
85-89;37
90-94;19
95-99;13
100 AÑOS Y MÁS;1
Guadalupe;
Total;4.468
00-04;259
05-09;326
10-14;383
15-19;339
20-24;258
25-29;239
30-34;249
35-39;273
40-44;293
45-49;291
50-54;302
55-59;298
60-64;249
65-69;209
70-74;181
75-79;135
80-84;91
85-89;57
90-94;28
95-99;8
100 AÑOS Y MÁS;0
Guapotá;
Total;2.413
00-04;169
05-09;186
10-14;203
15-19;184
20-24;160
25-29;152
30-34;151
35-39;157
40-44;155
45-49;157
50-54;171
55-59;161
60-64;125
65-69;105
70-74;77
75-79;47
80-84;26
85-89;16
90-94;7
95-99;4
100 AÑOS Y MÁS;0
Guavatá;
Total;4.191
00-04;189
05-09;237
10-14;293
15-19;300
20-24;246
25-29;209
30-34;196
35-39;223
40-44;262
45-49;301
50-54;338
55-59;314
60-64;268
65-69;240
70-74;209
75-79;153
80-84;105
85-89;63
90-94;29
95-99;16
100 AÑOS Y MÁS;0
Güepsa;
Total;5.309
00-04;364
05-09;378
10-14;403
15-19;436
20-24;433
25-29;376
30-34;328
35-39;331
40-44;349
45-49;358
50-54;353
55-59;305
60-64;255
65-69;198
70-74;144
75-79;108
80-84;87
85-89;60
90-94;35
95-99;8
100 AÑOS Y MÁS;0
Hato;
Total;2.370
00-04;183
05-09;190
10-14;196
15-19;189
20-24;165
25-29;158
30-34;163
35-39;168
40-44;158
45-49;159
50-54;155
55-59;130
60-64;109
65-69;93
70-74;66
75-79;41
80-84;25
85-89;12
90-94;6
95-99;4
100 AÑOS Y MÁS;0
Jesús María;
Total;3.339
00-04;187
05-09;231
10-14;278
15-19;264
20-24;204
25-29;169
30-34;173
35-39;191
40-44;208
45-49;223
50-54;238
55-59;227
60-64;203
65-69;167
70-74;128
75-79;103
80-84;77
85-89;46
90-94;18
95-99;4
100 AÑOS Y MÁS;0
Jordán;
Total;1.336
00-04;120
05-09;115
10-14;113
15-19;116
20-24;104
25-29;97
30-34;96
35-39;95
40-44;85
45-49;72
50-54;73
55-59;67
60-64;57
65-69;42
70-74;37
75-79;27
80-84;10
85-89;3
90-94;3
95-99;4
100 AÑOS Y MÁS;0
La Belleza;
Total;6.178
00-04;432
05-09;489
10-14;544
15-19;526
20-24;434
25-29;394
30-34;393
35-39;392
40-44;400
45-49;412
50-54;403
55-59;349
60-64;271
65-69;199
70-74;171
75-79;159
80-84;112
85-89;56
90-94;26
95-99;14
100 AÑOS Y MÁS;2
Landázuri;
Total;10.588
00-04;793
05-09;882
10-14;952
15-19;893
20-24;745
25-29;677
30-34;693
35-39;703
40-44;688
45-49;669
50-54;635
55-59;569
60-64;489
65-69;389
70-74;299
75-79;213
80-84;137
85-89;84
90-94;51
95-99;23
100 AÑOS Y MÁS;4
La Paz;
Total;4.917
00-04;270
05-09;337
10-14;396
15-19;368
20-24;287
25-29;241
30-34;265
35-39;303
40-44;329
45-49;347
50-54;351
55-59;327
60-64;276
65-69;232
70-74;203
75-79;157
80-84;115
85-89;71
90-94;28
95-99;12
100 AÑOS Y MÁS;2
Lebríja;
Total;44.169
00-04;3.545
05-09;3.587
10-14;3.615
15-19;3.674
20-24;3.906
25-29;3.963
30-34;3.673
35-39;3.323
40-44;2.924
45-49;2.630
50-54;2.443
55-59;2.068
60-64;1.576
65-69;1.159
70-74;826
75-79;532
80-84;331
85-89;204
90-94;116
95-99;48
100 AÑOS Y MÁS;26
Los Santos;
Total;14.787
00-04;1.246
05-09;1.282
10-14;1.292
15-19;1.242
20-24;1.175
25-29;1.131
30-34;1.102
35-39;1.067
40-44;996
45-49;915
50-54;806
55-59;670
60-64;570
65-69;466
70-74;343
75-79;215
80-84;125
85-89;76
90-94;42
95-99;22
100 AÑOS Y MÁS;4
Macaravita;
Total;2.104
00-04;156
05-09;172
10-14;185
15-19;169
20-24;150
25-29;129
30-34;122
35-39;117
40-44;116
45-49;114
50-54;117
55-59;112
60-64;102
65-69;98
70-74;84
75-79;66
80-84;47
85-89;25
90-94;18
95-99;5
100 AÑOS Y MÁS;0
Málaga;
Total;21.672
00-04;1.472
05-09;1.625
10-14;1.806
15-19;1.849
20-24;1.764
25-29;1.559
30-34;1.465
35-39;1.462
40-44;1.407
45-49;1.324
50-54;1.279
55-59;1.170
60-64;988
65-69;768
70-74;581
75-79;454
80-84;334
85-89;205
90-94;105
95-99;42
100 AÑOS Y MÁS;13
Matanza;
Total;5.035
00-04;366
05-09;371
10-14;375
15-19;368
20-24;341
25-29;316
30-34;312
35-39;328
40-44;341
45-49;351
50-54;336
55-59;294
60-64;258
65-69;211
70-74;164
75-79;122
80-84;85
85-89;50
90-94;26
95-99;18
100 AÑOS Y MÁS;2
Mogotes;
Total;10.647
00-04;938
05-09;966
10-14;964
15-19;880
20-24;776
25-29;734
30-34;699
35-39;662
40-44;606
45-49;575
50-54;580
55-59;536
60-64;466
65-69;412
70-74;333
75-79;233
80-84;148
85-89;81
90-94;33
95-99;22
100 AÑOS Y MÁS;3
Molagavita;
Total;4.106
00-04;219
05-09;289
10-14;365
15-19;365
20-24;294
25-29;222
30-34;202
35-39;253
40-44;274
45-49;261
50-54;250
55-59;245
60-64;235
65-69;208
70-74;162
75-79;113
80-84;77
85-89;41
90-94;18
95-99;12
100 AÑOS Y MÁS;1
Ocamonte;
Total;5.810
00-04;436
05-09;473
10-14;494
15-19;465
20-24;409
25-29;373
30-34;367
35-39;382
40-44;387
45-49;371
50-54;379
55-59;359
60-64;300
65-69;219
70-74;170
75-79;115
80-84;54
85-89;26
90-94;16
95-99;13
100 AÑOS Y MÁS;2
Oiba;
Total;11.175
00-04;787
05-09;856
10-14;914
15-19;884
20-24;796
25-29;750
30-34;735
35-39;751
40-44;749
45-49;723
50-54;706
55-59;673
60-64;588
65-69;442
70-74;298
75-79;204
80-84;144
85-89;97
90-94;51
95-99;24
100 AÑOS Y MÁS;3
Onzaga;
Total;4.082
00-04;257
05-09;295
10-14;329
15-19;310
20-24;251
25-29;215
30-34;216
35-39;220
40-44;222
45-49;240
50-54;267
55-59;269
60-64;245
65-69;212
70-74;178
75-79;141
80-84;107
85-89;66
90-94;32
95-99;10
100 AÑOS Y MÁS;0
Palmar;
Total;1.407
00-04;91
05-09;105
10-14;118
15-19;116
20-24;100
25-29;93
30-34;89
35-39;85
40-44;85
45-49;96
50-54;86
55-59;81
60-64;65
65-69;55
70-74;52
75-79;40
80-84;26
85-89;16
90-94;4
95-99;4
100 AÑOS Y MÁS;0
Palmas del Socorro;
Total;2.626
00-04;205
05-09;212
10-14;210
15-19;199
20-24;183
25-29;170
30-34;167
35-39;166
40-44;166
45-49;171
50-54;166
55-59;147
60-64;128
65-69;107
70-74;85
75-79;58
80-84;39
85-89;27
90-94;16
95-99;4
100 AÑOS Y MÁS;0
Páramo;
Total;4.869
00-04;431
05-09;416
10-14;401
15-19;399
20-24;384
25-29;371
30-34;354
35-39;349
40-44;331
45-49;298
50-54;271
55-59;229
60-64;185
65-69;151
70-74;123
75-79;82
80-84;46
85-89;29
90-94;15
95-99;4
100 AÑOS Y MÁS;0
Piedecuesta;
Total;182.959
00-04;13.625
05-09;13.646
10-14;13.748
15-19;14.377
20-24;15.830
25-29;16.067
30-34;15.129
35-39;14.065
40-44;12.378
45-49;11.321
50-54;10.897
55-59;9.472
60-64;7.424
65-69;5.456
70-74;3.813
75-79;2.509
80-84;1.551
85-89;900
90-94;465
95-99;198
100 AÑOS Y MÁS;88
Pinchote;
Total;5.385
00-04;355
05-09;379
10-14;407
15-19;413
20-24;399
25-29;377
30-34;378
35-39;366
40-44;367
45-49;381
50-54;348
55-59;294
60-64;251
65-69;215
70-74;175
75-79;119
80-84;70
85-89;42
90-94;30
95-99;17
100 AÑOS Y MÁS;2
Puente Nacional;
Total;14.844
00-04;804
05-09;988
10-14;1.173
15-19;1.138
20-24;894
25-29;749
30-34;816
35-39;917
40-44;913
45-49;924
50-54;976
55-59;960
60-64;875
65-69;793
70-74;692
75-79;515
80-84;332
85-89;213
90-94;125
95-99;43
100 AÑOS Y MÁS;4
Puerto Parra;
Total;8.017
00-04;895
05-09;842
10-14;751
15-19;666
20-24;636
25-29;623
30-34;560
35-39;530
40-44;520
45-49;491
50-54;426
55-59;321
60-64;236
65-69;188
70-74;130
75-79;89
80-84;55
85-89;28
90-94;17
95-99;11
100 AÑOS Y MÁS;2
Puerto Wilches;
Total;34.206
00-04;3.489
05-09;3.450
10-14;3.283
15-19;2.956
20-24;2.725
25-29;2.642
30-34;2.467
35-39;2.293
40-44;2.098
45-49;1.894
50-54;1.748
55-59;1.537
60-64;1.224
65-69;865
70-74;581
75-79;402
80-84;263
85-89;151
90-94;87
95-99;41
100 AÑOS Y MÁS;10
Rionegro;
Total;27.062
00-04;2.270
05-09;2.300
10-14;2.270
15-19;2.151
20-24;2.044
25-29;1.969
30-34;1.872
35-39;1.812
40-44;1.738
45-49;1.703
50-54;1.647
55-59;1.463
60-64;1.182
65-69;901
70-74;683
75-79;477
80-84;293
85-89;168
90-94;83
95-99;31
100 AÑOS Y MÁS;5
Sabana de Torres;
Total;34.556
00-04;3.585
05-09;3.456
10-14;3.188
15-19;2.897
20-24;2.848
25-29;2.916
30-34;2.744
35-39;2.499
40-44;2.175
45-49;1.893
50-54;1.708
55-59;1.408
60-64;1.063
65-69;777
70-74;568
75-79;388
80-84;221
85-89;118
90-94;64
95-99;31
100 AÑOS Y MÁS;9
San Andrés;
Total;8.596
00-04;574
05-09;621
10-14;657
15-19;618
20-24;533
25-29;520
30-34;512
35-39;520
40-44;550
45-49;582
50-54;579
55-59;507
60-64;448
65-69;415
70-74;351
75-79;257
80-84;171
85-89;99
90-94;54
95-99;27
100 AÑOS Y MÁS;1
San Benito;
Total;2.972
00-04;179
05-09;196
10-14;215
15-19;211
20-24;193
25-29;184
30-34;196
35-39;203
40-44;207
45-49;202
50-54;206
55-59;198
60-64;161
65-69;133
70-74;104
75-79;69
80-84;41
85-89;37
90-94;28
95-99;9
100 AÑOS Y MÁS;0
San Gil;
Total;59.670
00-04;4.270
05-09;4.303
10-14;4.330
15-19;4.440
20-24;4.842
25-29;4.967
30-34;4.610
35-39;4.276
40-44;3.974
45-49;3.844
50-54;3.741
55-59;3.238
60-64;2.609
65-69;2.090
70-74;1.597
75-79;1.109
80-84;706
85-89;411
90-94;215
95-99;87
100 AÑOS Y MÁS;11
San Joaquín;
Total;2.208
00-04;158
05-09;180
10-14;196
15-19;169
20-24;141
25-29;130
30-34;130
35-39;125
40-44;122
45-49;133
50-54;139
55-59;116
60-64;111
65-69;106
70-74;94
75-79;69
80-84;50
85-89;26
90-94;9
95-99;4
100 AÑOS Y MÁS;0
San José de Miranda;
Total;4.289
00-04;259
05-09;298
10-14;346
15-19;375
20-24;351
25-29;285
30-34;232
35-39;242
40-44;257
45-49;254
50-54;258
55-59;243
60-64;212
65-69;185
70-74;160
75-79;137
80-84;100
85-89;55
90-94;27
95-99;12
100 AÑOS Y MÁS;1
San Miguel;
Total;2.478
00-04;190
05-09;196
10-14;200
15-19;206
20-24;186
25-29;151
30-34;146
35-39;142
40-44;144
45-49;143
50-54;148
55-59;139
60-64;128
65-69;106
70-74;93
75-79;75
80-84;46
85-89;24
90-94;11
95-99;4
100 AÑOS Y MÁS;0
San Vicente de Chucurí;
Total;33.593
00-04;2.584
05-09;2.765
10-14;2.939
15-19;2.921
20-24;2.691
25-29;2.450
30-34;2.323
35-39;2.342
40-44;2.259
45-49;2.091
50-54;1.971
55-59;1.749
60-64;1.425
65-69;1.083
70-74;800
75-79;563
80-84;344
85-89;178
90-94;68
95-99;37
100 AÑOS Y MÁS;10
Santa Bárbara;
Total;2.448
00-04;183
05-09;184
10-14;190
15-19;195
20-24;190
25-29;169
30-34;158
35-39;175
40-44;175
45-49;157
50-54;143
55-59;133
60-64;111
65-69;91
70-74;82
75-79;58
80-84;26
85-89;15
90-94;8
95-99;5
100 AÑOS Y MÁS;0
Santa Helena del Opón;
Total;3.411
00-04;285
05-09;313
10-14;331
15-19;303
20-24;261
25-29;249
30-34;247
35-39;234
40-44;224
45-49;220
50-54;201
55-59;167
60-64;120
65-69;91
70-74;66
75-79;42
80-84;30
85-89;17
90-94;6
95-99;4
100 AÑOS Y MÁS;0
Simacota;
Total;10.226
00-04;809
05-09;880
10-14;916
15-19;820
20-24;718
25-29;707
30-34;691
35-39;668
40-44;652
45-49;648
50-54;639
55-59;579
60-64;467
65-69;345
70-74;258
75-79;188
80-84;121
85-89;65
90-94;33
95-99;20
100 AÑOS Y MÁS;2
Socorro;
Total;33.628
00-04;2.090
05-09;2.240
10-14;2.498
15-19;2.816
20-24;3.006
25-29;2.666
30-34;2.339
35-39;2.278
40-44;2.209
45-49;2.128
50-54;2.076
55-59;1.906
60-64;1.601
65-69;1.252
70-74;940
75-79;659
80-84;423
85-89;271
90-94;147
95-99;60
100 AÑOS Y MÁS;23
Suaita;
Total;10.158
00-04;674
05-09;732
10-14;782
15-19;751
20-24;636
25-29;579
30-34;579
35-39;612
40-44;622
45-49;645
50-54;701
55-59;671
60-64;577
65-69;493
70-74;410
75-79;299
80-84;187
85-89;114
90-94;67
95-99;24
100 AÑOS Y MÁS;3
Sucre;
Total;7.064
00-04;480
05-09;553
10-14;614
15-19;565
20-24;444
25-29;394
30-34;409
35-39;426
40-44;431
45-49;446
50-54;483
55-59;459
60-64;368
65-69;301
70-74;241
75-79;174
80-84;116
85-89;88
90-94;53
95-99;17
100 AÑOS Y MÁS;2
Suratá;
Total;3.987
00-04;333
05-09;317
10-14;297
15-19;292
20-24;283
25-29;261
30-34;247
35-39;259
40-44;261
45-49;250
50-54;247
55-59;237
60-64;201
65-69;153
70-74;117
75-79;96
80-84;69
85-89;40
90-94;19
95-99;8
100 AÑOS Y MÁS;0
Tona;
Total;7.718
00-04;654
05-09;657
10-14;652
15-19;644
20-24;624
25-29;594
30-34;551
35-39;523
40-44;477
45-49;448
50-54;456
55-59;417
60-64;327
65-69;238
70-74;173
75-79;126
80-84;78
85-89;44
90-94;21
95-99;12
100 AÑOS Y MÁS;2
Valle de San José;
Total;6.336
00-04;474
05-09;504
10-14;527
15-19;528
20-24;500
25-29;448
30-34;412
35-39;418
40-44;418
45-49;414
50-54;396
55-59;338
60-64;279
65-69;235
70-74;188
75-79;119
80-84;65
85-89;37
90-94;23
95-99;11
100 AÑOS Y MÁS;2
Vélez;
Total;25.219
00-04;1.279
05-09;1.504
10-14;1.787
15-19;2.519
20-24;2.375
25-29;1.665
30-34;1.611
35-39;1.682
40-44;1.581
45-49;1.510
50-54;1.544
55-59;1.473
60-64;1.294
65-69;1.056
70-74;811
75-79;613
80-84;438
85-89;267
90-94;142
95-99;52
100 AÑOS Y MÁS;16
Vetas;
Total;2.168
00-04;154
05-09;170
10-14;181
15-19;171
20-24;168
25-29;160
30-34;153
35-39;152
40-44;143
45-49;140
50-54;133
55-59;117
60-64;97
65-69;75
70-74;62
75-79;44
80-84;20
85-89;13
90-94;11
95-99;4
100 AÑOS Y MÁS;0
Villanueva;
Total;7.982
00-04;547
05-09;585
10-14;620
15-19;610
20-24;563
25-29;510
30-34;474
35-39;475
40-44;499
45-49;530
50-54;551
55-59;493
60-64;417
65-69;362
70-74;286
75-79;197
80-84;124
85-89;76
90-94;44
95-99;17
100 AÑOS Y MÁS;2
Zapatoca;
Total;9.566
00-04;745
05-09;768
10-14;771
15-19;699
20-24;578
25-29;554
30-34;589
35-39;589
40-44;580
45-49;588
50-54;581
55-59;566
60-64;531
65-69;449
70-74;356
75-79;263
80-84;178
85-89;109
90-94;50
95-99;20
100 AÑOS Y MÁS;2
Sincelejo;
Total;293.951
00-04;24.172
05-09;24.556
10-14;24.988
15-19;25.615
20-24;25.690
25-29;25.110
30-34;22.969
35-39;20.812
40-44;18.276
45-49;16.713
50-54;16.013
55-59;14.005
60-64;11.178
65-69;8.593
70-74;6.129
75-79;4.003
80-84;2.478
85-89;1.426
90-94;774
95-99;326
100 AÑOS Y MÁS;125
Buenavista;
Total;10.964
00-04;988
05-09;1.007
10-14;1.010
15-19;977
20-24;876
25-29;795
30-34;719
35-39;688
40-44;668
45-49;654
50-54;625
55-59;541
60-64;442
65-69;342
70-74;248
75-79;164
80-84;102
85-89;69
90-94;34
95-99;13
100 AÑOS Y MÁS;2
Caimito;
Total;16.028
00-04;1.376
05-09;1.463
10-14;1.566
15-19;1.622
20-24;1.465
25-29;1.255
30-34;1.101
35-39;1.008
40-44;897
45-49;823
50-54;802
55-59;705
60-64;571
65-69;475
70-74;352
75-79;231
80-84;147
85-89;91
90-94;48
95-99;26
100 AÑOS Y MÁS;4
Coloso;
Total;8.732
00-04;755
05-09;766
10-14;769
15-19;762
20-24;695
25-29;635
30-34;582
35-39;541
40-44;512
45-49;498
50-54;477
55-59;422
60-64;351
65-69;306
70-74;246
75-79;167
80-84;103
85-89;68
90-94;41
95-99;24
100 AÑOS Y MÁS;12
Corozal;
Total;70.853
00-04;5.449
05-09;5.679
10-14;5.962
15-19;6.158
20-24;5.902
25-29;5.486
30-34;5.089
35-39;4.894
40-44;4.535
45-49;4.216
50-54;3.984
55-59;3.567
60-64;2.992
65-69;2.380
70-74;1.780
75-79;1.230
80-84;759
85-89;429
90-94;239
95-99;96
100 AÑOS Y MÁS;27
Coveñas;
Total;19.516
00-04;1.529
05-09;1.537
10-14;1.550
15-19;2.906
20-24;2.400
25-29;1.519
30-34;1.456
35-39;1.340
40-44;1.125
45-49;968
50-54;897
55-59;731
60-64;517
65-69;378
70-74;263
75-79;170
80-84;97
85-89;64
90-94;37
95-99;26
100 AÑOS Y MÁS;6
Chalán;
Total;4.604
00-04;352
05-09;388
10-14;436
15-19;445
20-24;385
25-29;325
30-34;299
35-39;298
40-44;284
45-49;258
50-54;256
55-59;231
60-64;177
65-69;149
70-74;117
75-79;79
80-84;57
85-89;38
90-94;26
95-99;4
100 AÑOS Y MÁS;0
El Roble;
Total;10.439
00-04;908
05-09;946
10-14;970
15-19;920
20-24;797
25-29;751
30-34;722
35-39;656
40-44;609
45-49;571
50-54;541
55-59;512
60-64;438
65-69;353
70-74;274
75-79;207
80-84;137
85-89;75
90-94;30
95-99;18
100 AÑOS Y MÁS;4
Galeras;
Total;23.238
00-04;2.165
05-09;2.215
10-14;2.244
15-19;2.216
20-24;1.991
25-29;1.744
30-34;1.502
35-39;1.409
40-44;1.388
45-49;1.310
50-54;1.174
55-59;981
60-64;795
65-69;687
70-74;554
75-79;366
80-84;235
85-89;146
90-94;73
95-99;33
100 AÑOS Y MÁS;10
Guaranda;
Total;18.601
00-04;1.980
05-09;1.960
10-14;1.891
15-19;1.779
20-24;1.528
25-29;1.331
30-34;1.196
35-39;1.136
40-44;1.063
45-49;983
50-54;917
55-59;791
60-64;609
65-69;483
70-74;369
75-79;249
80-84;158
85-89;93
90-94;50
95-99;29
100 AÑOS Y MÁS;6
La Unión;
Total;12.994
00-04;1.025
05-09;1.098
10-14;1.184
15-19;1.208
20-24;1.087
25-29;948
30-34;841
35-39;803
40-44;771
45-49;739
50-54;710
55-59;639
60-64;538
65-69;451
70-74;368
75-79;249
80-84;146
85-89;97
90-94;58
95-99;30
100 AÑOS Y MÁS;4
Los Palmitos;
Total;23.884
00-04;2.125
05-09;2.095
10-14;2.028
15-19;1.994
20-24;1.929
25-29;1.836
30-34;1.637
35-39;1.513
40-44;1.451
45-49;1.427
50-54;1.393
55-59;1.171
60-64;934
65-69;825
70-74;631
75-79;380
80-84;235
85-89;143
90-94;86
95-99;42
100 AÑOS Y MÁS;9
Majagual;
Total;38.306
00-04;3.785
05-09;3.781
10-14;3.662
15-19;3.390
20-24;2.944
25-29;2.726
30-34;2.556
35-39;2.428
40-44;2.322
45-49;2.167
50-54;1.982
55-59;1.664
60-64;1.343
65-69;1.189
70-74;934
75-79;602
80-84;385
85-89;243
90-94;130
95-99;55
100 AÑOS Y MÁS;18
Morroa;
Total;15.858
00-04;1.447
05-09;1.419
10-14;1.362
15-19;1.337
20-24;1.304
25-29;1.303
30-34;1.242
35-39;1.105
40-44;946
45-49;871
50-54;846
55-59;757
60-64;604
65-69;462
70-74;328
75-79;217
80-84;139
85-89;83
90-94;51
95-99;27
100 AÑOS Y MÁS;8
Ovejas;
Total;23.436
00-04;1.924
05-09;1.969
10-14;2.004
15-19;2.004
20-24;1.862
25-29;1.784
30-34;1.648
35-39;1.520
40-44;1.431
45-49;1.342
50-54;1.262
55-59;1.141
60-64;990
65-69;872
70-74;665
75-79;447
80-84;285
85-89;157
90-94;82
95-99;38
100 AÑOS Y MÁS;9
Palmito;
Total;15.056
00-04;1.472
05-09;1.484
10-14;1.500
15-19;1.548
20-24;1.509
25-29;1.315
30-34;1.061
35-39;919
40-44;797
45-49;715
50-54;666
55-59;544
60-64;399
65-69;318
70-74;279
75-79;224
80-84;145
85-89;79
90-94;46
95-99;28
100 AÑOS Y MÁS;8
Sampués;
Total;48.819
00-04;4.587
05-09;4.563
10-14;4.500
15-19;4.535
20-24;4.421
25-29;4.161
30-34;3.687
35-39;3.242
40-44;2.802
45-49;2.538
50-54;2.391
55-59;2.029
60-64;1.584
65-69;1.269
70-74;962
75-79;664
80-84;444
85-89;253
90-94;119
95-99;50
100 AÑOS Y MÁS;18
San Benito Abad;
Total;29.774
00-04;2.636
05-09;2.777
10-14;2.912
15-19;2.902
20-24;2.562
25-29;2.255
30-34;2.005
35-39;1.839
40-44;1.752
45-49;1.641
50-54;1.495
55-59;1.315
60-64;1.082
65-69;897
70-74;686
75-79;455
80-84;268
85-89;145
90-94;87
95-99;43
100 AÑOS Y MÁS;20
San Juan de Betulia;
Total;14.191
00-04;1.038
05-09;1.115
10-14;1.201
15-19;1.219
20-24;1.135
25-29;1.018
30-34;915
35-39;895
40-44;921
45-49;962
50-54;929
55-59;789
60-64;627
65-69;506
70-74;375
75-79;237
80-84;144
85-89;85
90-94;43
95-99;29
100 AÑOS Y MÁS;8
San Marcos;
Total;60.566
00-04;5.634
05-09;5.849
10-14;5.989
15-19;5.772
20-24;4.968
25-29;4.415
30-34;4.068
35-39;3.783
40-44;3.421
45-49;3.204
50-54;3.095
55-59;2.686
60-64;2.146
65-69;1.833
70-74;1.432
75-79;947
80-84;617
85-89;380
90-94;199
95-99;88
100 AÑOS Y MÁS;40
San Onofre;
Total;51.109
00-04;5.105
05-09;5.334
